		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	44781	ACTN2	67	4.810208900193119	ACTN2	114	10.089133958476134
SGI75460068	44780	ACTN3	22	1.5794715791678895	ACTN3	14	1.2390164510409285
SGI75460068	44779	ACTN4	0	0.0	ACTN4	305	26.992858397677377
SGI75460068	44778	ACTN4P1	0	0.0	ACTN4P1	0	0.0
SGI75460068	44777	ACTP1	0	0.0	ACTP1	0	0.0
SGI75460068	44776	ACTR10	197	14.14345004982156	ACTR10	138	12.213162160260582
SGI75460068	44775	ACTR1A	259	18.59468813656743	ACTR1A	219	19.3817573412831
SGI75460068	44774	ACTR1AP1	0	0.0	ACTR1AP1	0	0.0
SGI75460068	44773	ACTR1B	0	0.0	ACTR1B	30	2.6550352522305616
SGI75460068	44772	ACTR2	3236	232.3259104630587	ACTR2	3699	327.36584660002825
SGI75460068	44771	ACTR3	3195	229.38234979279127	ACTR3	3215	284.53127786404184
SGI75460068	44770	ACTR3-AS1	78	5.599944689777064	ACTR3-AS1	192	16.992225614275593
SGI75460068	44769	ACTR3B	61	4.379443924056422	ACTR3B	51	4.513559928791954
SGI75460068	44768	ACTR3BP1	30	2.1538248806834863	ACTR3BP1	30	2.6550352522305616
SGI75460068	44767	ACTR3BP2	1	0.0717941626894495	ACTR3BP2	0	0.0
SGI75460068	44766	ACTR3BP3	0	0.0	ACTR3BP3	0	0.0
SGI75460068	44765	ACTR3BP4	0	0.0	ACTR3BP4	0	0.0
SGI75460068	44764	ACTR3BP5	1	0.0717941626894495	ACTR3BP5	0	0.0
SGI75460068	44763	ACTR3BP6	1	0.0717941626894495	ACTR3BP6	0	0.0
SGI75460068	44762	ACTR3BP7	1	0.0717941626894495	ACTR3BP7	0	0.0
SGI75460068	44761	ACTR3C	0	0.0	ACTR3C	0	0.0
SGI75460068	44760	ACTR3P1	0	0.0	ACTR3P1	0	0.0
SGI75460068	44759	ACTR3P2	0	0.0	ACTR3P2	0	0.0
SGI75460068	44758	ACTR3P3	0	0.0	ACTR3P3	0	0.0
SGI75460068	44757	ACTR5	19	1.3640890910995414	ACTR5	2	0.1770023501487041
SGI75460068	44756	ACTR6	206	14.789597514026603	ACTR6	188	16.638220913978188
SGI75460068	44755	ACTR6P1	0	0.0	ACTR6P1	0	0.0
SGI75460068	44754	ACTR8	164	11.774242681069724	ACTR8	172	15.222202112788551
SGI75460068	44753	ACTRT1	0	0.0	ACTRT1	0	0.0
SGI75460068	44752	ACTRT1P1	0	0.0	ACTRT1P1	0	0.0
SGI75460068	44751	ACTRT2	0	0.0	ACTRT2	0	0.0
SGI75460068	44750	ACTRT3	0	0.0	ACTRT3	1	0.088501175074352
